"scenario","run_id","nobs","npredictors","run_number","Model","s0","s1","lambda","gamma","converged","iterations","TP","FP","TN","FN","TP_indep","FP_indep","TN_indep","FN_indep","TP_strong","FP_strong","TN_strong","FN_strong","TP_weak","FP_weak","TN_weak","FN_weak"
"scenarioB","p25_scenarioB_run63",200,25,63,"SSL",0.0116710184315546,0.2,NA,NA,TRUE,5,3,0,20,2,1,0,12,0,0,0,4,2,2,0,4,0
"scenarioB","p25_scenarioB_run63",200,25,63,"LASSO",NA,NA,0.0747189675449666,NA,TRUE,NA,4,0,20,1,1,0,12,0,1,0,4,1,2,0,4,0
"scenarioB","p25_scenarioB_run64",200,25,64,"SSL",0.0116710184315546,0.2,NA,NA,TRUE,5,3,0,20,2,1,0,12,0,0,0,4,2,2,0,4,0
"scenarioB","p25_scenarioB_run64",200,25,64,"LASSO",NA,NA,0.0854877640146103,NA,TRUE,NA,3,0,20,2,1,0,12,0,0,0,4,2,2,0,4,0
"scenarioB","p25_scenarioB_run65",200,25,65,"SSL",0.0131455377967901,0.2,NA,NA,TRUE,5,4,0,20,1,1,0,12,0,1,0,4,1,2,0,4,0
"scenarioB","p25_scenarioB_run65",200,25,65,"LASSO",NA,NA,0.0584839327045327,NA,TRUE,NA,4,4,16,1,1,1,11,0,1,1,3,1,2,2,2,0
"scenarioB","p25_scenarioB_run66",200,25,66,"SSL",0.0116710184315546,0.2,NA,NA,TRUE,5,5,2,18,0,1,2,10,0,2,0,4,0,2,0,4,0
"scenarioB","p25_scenarioB_run66",200,25,66,"LASSO",NA,NA,0.0552599892836568,NA,TRUE,NA,5,4,16,0,1,2,10,0,2,1,3,0,2,1,3,0
"scenarioB","p25_scenarioB_run67",200,25,67,"SSL",0.00842479936152805,0.2,NA,NA,TRUE,5,4,1,19,1,1,0,12,0,1,0,4,1,2,1,3,0
"scenarioB","p25_scenarioB_run67",200,25,67,"LASSO",NA,NA,0.0634257439348705,NA,TRUE,NA,4,2,18,1,1,1,11,0,1,0,4,1,2,1,3,0
"scenarioB","p25_scenarioB_run68",200,25,68,"SSL",0.0173826441767981,0.2,NA,NA,TRUE,5,5,0,20,0,1,0,12,0,2,0,4,0,2,0,4,0
"scenarioB","p25_scenarioB_run68",200,25,68,"LASSO",NA,NA,0.0383384127374422,NA,TRUE,NA,5,2,18,0,1,1,11,0,2,1,3,0,2,0,4,0
"scenarioB","p25_scenarioB_run69",200,25,69,"SSL",0.00890843141678206,0.2,NA,NA,TRUE,5,5,0,20,0,1,0,12,0,2,0,4,0,2,0,4,0
"scenarioB","p25_scenarioB_run69",200,25,69,"LASSO",NA,NA,0.0370817798631238,NA,TRUE,NA,5,1,19,0,1,0,12,0,2,1,3,0,2,0,4,0
"scenarioB","p25_scenarioB_run70",200,25,70,"SSL",0.000434218656766025,1,NA,NA,TRUE,5,5,8,12,0,1,6,6,0,2,0,4,0,2,2,2,0
"scenarioB","p25_scenarioB_run70",200,25,70,"LASSO",NA,NA,0.0706886600846065,NA,TRUE,NA,4,2,18,1,1,2,10,0,1,0,4,1,2,0,4,0
